sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa831e4b0c9d6adf6c73a	0	0	0	0	2	0	0	9522	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6c6be	0	0	0	0	0	0	0	17281	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
13722.58cfa831e4b0c9d6adf6c6fe	0	0	0	0	2	0	0	22483	6	0	2	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	1	0	56
13722.58cfa831e4b0c9d6adf6c6f2	0	0	0	0	4	0	0	22754	1	0	0	0	7	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	18
13722.58cfa831e4b0c9d6adf6c6f0	0	0	0	0	0	0	0	14673	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	67
13722.58cfa831e4b0c9d6adf6c702	0	0	0	0	2	0	0	24383	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10
13722.58cfa831e4b0c9d6adf6c740	0	0	0	0	2	0	0	22037	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14
13722.58cfa831e4b0c9d6adf6c784	0	0	0	0	2	0	0	11217	0	0	0	0	93	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	1	290
13722.58cfa831e4b0c9d6adf6c7aa	0	0	0	0	0	0	0	23519	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	60
13722.58cfa831e4b0c9d6adf6c7b1	0	0	0	0	2	0	0	12920	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	12
13722.58cfa831e4b0c9d6adf6c7a2	0	0	0	0	1	0	0	18351	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	16
13722.58cfa831e4b0c9d6adf6c7c8	0	0	0	0	0	0	0	9741	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	46
13722.58cfa831e4b0c9d6adf6c78a	0	0	0	0	0	0	0	20437	2	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	37
13722.58cfa831e4b0c9d6adf6c7de	0	0	0	0	0	0	0	30637	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
13722.58cfa831e4b0c9d6adf6c7f7	0	0	0	0	0	0	0	30755	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
