G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	0	0	0	0	0	0	0	0	0	20678	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	4	1	0	0
0	0	10	0	0	0	0	0	0	0	0	16127	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	19836	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	17239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0
0	0	1	0	0	0	0	0	0	0	0	17431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0
0	0	1	0	0	0	0	3	0	0	1	17031	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	1	0	0	1
1	0	4	0	7	0	0	20	0	2	0	7689	0	0	8	0	39	4	2	8	4	0	1	5	2	0	0	675	14	77	0
0	0	2	0	0	0	0	4	0	0	0	6957	0	0	0	0	8	0	0	0	0	0	0	0	2	0	2	10	0	3	0
0	0	5	0	1	0	0	4	0	0	0	17834	0	0	1	0	2	0	1	0	1	0	1	1	0	0	0	94	1	1	0
0	0	0	0	0	0	0	30	8	1	0	7766	0	1	2	0	68	0	6	0	0	0	0	4	2	2	0	882	17	270	0
0	0	4	0	0	0	0	0	0	0	0	5195	0	0	0	0	9	0	0	0	0	0	0	0	2	0	0	8	10	82	0
0	0	1	0	0	0	0	0	0	0	0	25998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
0	0	2	0	0	1	0	2	0	0	0	18091	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	2	0
0	0	2	0	0	0	0	2	0	0	1	23150	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	1	2	1	0
0	1	1	0	0	0	0	2	0	0	0	3368	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	7	92	0
0	0	0	0	0	0	0	0	0	0	0	3179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	2	0	0	0	12892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	32	0
0	0	9	0	0	1	0	9	0	0	2	12658	0	0	3	0	16	6	1	0	0	0	2	2	6	1	1	94	2	2	2
0	0	0	0	0	0	0	0	0	0	0	24213	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	0	0	0	0	0	26374	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	6	0	0	0	0	6	0	0	1	25577	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	1	0	0
0	0	1	0	0	0	0	4	0	0	0	32251	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	0	0	2	0	17	0	0	0	18264	27	0	0	0	4	0	0	0	0	0	0	0	0	0	1	19	0	0	0
0	0	0	0	0	0	0	0	0	0	0	23648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	26617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0
0	0	5	0	0	0	0	0	0	0	0	33471	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	26702	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	2	4	1	0
0	0	0	0	0	0	0	0	0	0	0	7764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	19366	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	24063	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	24063	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	3560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	6274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	19015	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4839	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	2	0	0	0	0	2	0	0	0	23937	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	19	0	0	0	0	1	0	0	1	19074	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	1	2	1
0	0	0	0	0	0	0	0	0	0	0	24498	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	24498	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	19820	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
