sampleid,G000002515,G000002545,G000003855,G000006335,G000006445,G000026945,G000091025,G000146045,G000149425,G000149645,G000149955,G000181695,G000182965,G000185945,G000226395,G000243375,G000300575,G000315645,G000349305,G000721785,G000769745,G001298625,G001417885,G001642055,G001661405,G002079055,G002775015,G003290485,G004154835,G004353045,G900007375
13722.58cfa831e4b0c9d6adf6c720,0,0,0,0,0,0,0,0,0,0,0,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa831e4b0c9d6adf6c6a2,0,0,3,0,0,4,0,1,0,0,0,17615,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0
13722.58cfa831e4b0c9d6adf6c6ad,0,0,1,0,0,0,0,2,0,0,0,32225,10,0,0,0,0,1,2,0,0,0,0,0,2,0,1,16,0,0,0
13722.58cfa831e4b0c9d6adf6c6fc,0,0,0,0,0,0,0,2,0,0,0,17729,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,1,1,0
13722.58cfa831e4b0c9d6adf6c748,0,0,3,0,0,0,0,0,0,0,2,18275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0
13722.58cfa831e4b0c9d6adf6c7fb,0,0,0,0,0,0,0,0,0,0,0,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c889,0,0,0,0,0,0,0,4,0,0,0,13489,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c7dd,0,0,6,0,0,0,0,0,0,0,0,23602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c8a6,0,0,0,0,0,0,0,0,0,0,0,12820,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6c902,0,0,0,0,0,0,0,0,0,0,0,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13722.58cfa831e4b0c9d6adf6c8a2,0,0,1,0,0,0,0,0,0,0,0,18350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,0
13722.58cfa831e4b0c9d6adf6c8c8,0,0,1,0,0,0,0,0,0,0,0,15434,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c90c,0,1,0,0,0,0,0,0,0,0,0,20590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6c912,0,0,1,0,0,0,0,0,0,0,0,24242,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0
13722.58cfa831e4b0c9d6adf6c91b,0,0,0,0,0,0,0,2,0,0,0,11295,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
13722.58cfa831e4b0c9d6adf6c936,0,0,7,0,0,0,0,0,0,0,0,20723,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
13722.58cfa831e4b0c9d6adf6ca1b,0,0,1,0,0,0,0,0,0,0,0,15304,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0
13722.58cfa831e4b0c9d6adf6cae8,0,0,0,0,0,0,0,1,0,0,0,26925,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13722.58cfa831e4b0c9d6adf6cba0,0,0,1,0,0,0,0,2,0,0,0,15273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cc5c,0,0,0,0,0,0,0,2,0,0,0,22310,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cba4,0,0,0,0,0,0,0,0,0,0,0,14004,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cd84,0,0,0,0,0,0,0,0,0,0,0,26072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13722.58cfa832e4b0c9d6adf6ce02,0,0,0,0,0,0,0,0,0,0,0,13001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13722.58cfa831e4b0c9d6adf6cd7c,0,0,0,0,0,0,0,2,0,0,0,33549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13722.58cfa832e4b0c9d6adf6ceb7,0,0,0,0,0,0,0,0,0,0,0,6391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13722.58cfa832e4b0c9d6adf6ced1,0,0,0,0,0,0,0,0,0,0,0,28029,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,4,0,0,0
